,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,ActualElapsedTime,AirTime,AirlineID,Altimeter,AltimeterFlag,ArrDel15,ArrDelay,ArrDelayMinutes,ArrTime,ArrTimeBlk,Arr_wban,ArrivalDelayGroups,CRSArrTime,CRSDepTime,CRSElapsedTime,CancellationCode,Cancelled,Carrier,CarrierDelay,Date,DayOfWeek,DayofMonth,DepDel15,DepDelay,DepDelayMinutes,DepTime,DepTimeBlk,Dep_wban,DepartureDelayGroups,Dest,DestCityName,DestState,DestStateFips,DewPointCelsius,DewPointCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,Distance,DistanceGroup,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,DivActualElapsedTime,DivAirportLandings,DivArrDelay,DivDistance,DivReachedDest,Diverted,DryBulbCelsius,DryBulbCelsiusFlag,DryBulbFarenheit,DryBulbFarenheitFlag,FirstDepTime,FlightDate,FlightNum,Flights,HourlyPrecip,HourlyPrecipFlag,LateAircraftDelay,LongestAddGTime,Month,NASDelay,Origin,OriginCityName,OriginState,OriginStateFips,PressureChange,PressureChangeFlag,PressureTendency,PressureTendencyFlag,Quarter,RecordType,RecordTypeFlag,RelativeHumidity,RelativeHumidityFlag,S_Arr_time,S_Dep_time,SeaLevelPressure,SeaLevelPressureFlag,SecurityDelay,SkyCondition,SkyConditionFlag,StationPressure,StationPressureFlag,StationType,TailNum,TaxiIn,TaxiOut,Time,TotalAddGTime,UniqueCarrier,ValueForWindCharacter,ValueForWindCharacterFlag,Visibility,VisibilityFlag,WBAN,WeatherDelay,WeatherType,WeatherTypeFlag,WetBulbCelsius,WetBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WheelsOff,WheelsOn,WindDirection,WindDirectionFlag,WindSpeed,WindSpeedFlag,Year,_merge,con,id,key,new_id,sa_time,sd_time,time,region_dep,region_arr,north_dep,north_arr,airport,delay,taxitime,snow,temp,dew_p,precip,vis,winter,airs,airs_cat,melting_snow,freezing_snow,DateStr,congestion,BDL,BOS,BUR,CAE,CHS,CLT,EWN,GSO,GSP,ILM,LAX,LGB,MHT,MYR,OAJ,ONT,ORH,PVD,RDU,SNA
149433,149433,18131,88,67.0,56.0,19393,30.07, ,0.0,-14.0,0.0,2031.0,2000-2059,93721.0,-1.0,2045,1925,80.0,,0.0,WN,,20141103.0,1,3,0.0,-1.0,0.0,1924.0,1900-1959,14765.0,-1.0,BWI,"Baltimore, MD",MD,24,-1.7, ,29.0, ,327.0,2,,,,,,0,,,,0.0,4.4, ,40.0, ,,2014-11-03 00:00:00,3742,1.0, , ,,,11,,PVD,"Providence, RI",RI,44, , , , ,4,AA, , 65, ,2014-11-03 20:45:00,2014-11-03 19:25:00,30.06, ,,SCT100, ,30.00, ,11.0,N449WN,4.0,7.0,1951.0,,WN, , ,10.0, ,14765.0,, , ,2.0, ,36, ,1931.0,2027.0,190, ,3.0, ,2014,both,Dep,83.0,24814,83.0,2045,1925,2014-11-03 19:51:00,North,,1,0,PVD,-1.0,7.0,0,40.0,29.0,0.0,10.0,0,PVD,17,0,0,20141103,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1311411,1311411,18024,442,98.0,52.0,19393,30.08, ,1.0,22.0,22.0,847.0,0800-0859,14765.0,1.0,825,715,70.0,,0.0,WN,0.0,20150210.0,2,10,0.0,-6.0,0.0,709.0,0700-0759,93721.0,-1.0,PVD,"Providence, RI",RI,44,-9.4, ,15, ,327.0,2,,,,,,0,,,,0.0,-6.7, ,20, ,,2015-02-10 00:00:00,4901,1.0, , ,0.0,,2,22.0,BWI,"Baltimore, MD",MD,24, , , , ,1,AA, , 81, ,2015-02-10 08:25:00,2015-02-10 07:15:00,30.09, ,0.0,OVC012, ,30.01, ,11.0,N612SW,6.0,40.0,851.0,,WN,26, ,10.0, ,14765.0,0.0, , ,-7.4, ,19, ,749.0,841.0,350, ,16.0, ,2015,both,Arr,341.0,256787,341.0,825,715,2015-02-10 08:51:00,,North,0,1,PVD,22.0,6.0,0,20.0,15.0,0.0,10.0,1,PVD,17,0,0,20150210,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1453735,1453735,49465,4562,147.0,113.0,19790,30.1, ,0.0,3.0,3.0,2107.0,2100-2159,23174.0,0.0,2104,1840,144.0,,0.0,DL,,20150311.0,3,11,0.0,0.0,0.0,1840.0,1800-1859,24229.0,0.0,LAX,"Los Angeles, CA",CA,6,6.7, ,44, ,834.0,4,,,,,,0,,,,0.0,20.0, ,68.0, ,,2015-03-11 00:00:00,2469,1.0, , ,,,3,,PDX,"Portland, OR",OR,41, , , , ,1,AA, , 42, ,2015-03-11 21:04:00,2015-03-11 18:40:00,30.10, ,,FEW100 SCT180, ,29.75, ,11.0,N366NW,26.0,8.0,2053.0,,DL, , ,10.0, ,23174.0,, , ,12.9, ,55, ,1848.0,2041.0,300, ,5.0, ,2015,both,Arr,279.0,106579,279.0,2104,1840,2015-03-11 20:53:00,,West,0,0,LAX,3.0,26.0,0,68.0,44.0,0.0,10.0,1,LAX,10,0,0,20150311,1169,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
491353,491353,110913,8598,124.0,105.0,20355,30.25, ,0.0,-1.0,0.0,2200.0,2200-2259,12839.0,-1.0,2201,2000,121.0,,0.0,US,,20140418.0,5,18,0.0,-4.0,0.0,1956.0,2000-2059,13881.0,-1.0,MIA,"Miami, FL",FL,12,7.8, ,46, ,650.0,3,,,,,,0,,,,0.0,8.9, ,48, ,,2014-04-18 00:00:00,1919,1.0,0.16, ,,,4,,CLT,"Charlotte, NC",NC,37, , , , ,2,AA, ,93, ,2014-04-18 22:01:00,2014-04-18 20:00:00,30.25, ,,FEW045 BKN065 OVC090, ,29.42, ,11.0,N555AY,5.0,14.0,1952.0,,US, , ,5.0, ,13881.0,,RA BR, ,8.3, ,47, ,2010.0,2155.0,030, ,8, ,2014,both,Dep,486.0,305645,486.0,2201,2000,2014-04-18 19:52:00,South,,0,0,CLT,-4.0,14.0,0,48.0,46.0,0.16,5.0,0,CLT,5,0,0,20140418,1310,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
437295,437295,56855,12580,199.0,184.0,19393,30.02, ,0.0,-16.0,0.0,1124.0,1100-1159,23174.0,-2.0,1140,1005,215.0,,0.0,WN,,20140419.0,6,19,0.0,0.0,0.0,1005.0,1000-1059,12918.0,0.0,LAX,"Los Angeles, CA",CA,6,11.7, ,53.0, ,1390.0,6,,,,,,0,,,,0.0,18.9, ,66.0, ,,2014-04-19 00:00:00,4720,1.0, , ,,,4,,HOU,"Houston, TX",TX,48, , , , ,2,AA, ,63.0, ,2014-04-19 11:40:00,2014-04-19 10:05:00,30.01, ,,FEW045 SCT150 BKN220, ,29.67, ,11.0,N448WN,7.0,8.0,1153.0,,WN,20, ,10.0, ,23174.0,, , ,14.7, ,59.0, ,1013.0,1117.0,250, ,13.0, ,2014,both,Arr,521.0,321889,521.0,1140,1005,2014-04-19 11:53:00,,West,0,0,LAX,-16.0,7.0,0,66.0,53.0,0.0,10.0,0,LAX,10,0,0,20140419,1073,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
123216,123216,123216,677,100.0,72.0,20398,29.97, ,1.0,73.0,73.0,933.0,0800-0859,14732.0,4.0,820,650,90.0,,0.0,MQ,0.0,20141022.0,3,22,1.0,63.0,63.0,753.0,0600-0659,13722.0,4.0,LGA,"New York, NY",NY,36,3.3, ,38, ,431.0,2,,,,,,0,,,,0.0,10.0, ,50, ,,2014-10-22 00:00:00,2816,1.0, , ,0.0,,10,73.0,RDU,"Raleigh/Durham, NC",NC,37, , , , ,4,AA, ,64, ,2014-10-22 08:20:00,2014-10-22 06:50:00,29.96, ,0.0,FEW050, ,29.5, ,11.0,N509MQ,9.0,19.0,651.0,,MQ, , ,10.0, ,13722.0,0.0, , ,6.9, ,44, ,812.0,924.0,VR , ,3, ,2014,both,Dep,570.0,102200,570.0,820,650,2014-10-22 06:51:00,South,,0,0,RDU,63.0,19.0,0,50.0,38.0,0.0,10.0,0,RDU,18,0,0,20141022,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1377075,1377075,83688,5963,119.0,91.0,20355,29.99, ,0.0,-4.0,0.0,1652.0,1600-1659,13881.0,-1.0,1656,1500,116.0,,0.0,US,,20150212.0,4,12,0.0,-7.0,0.0,1453.0,1500-1559,14734.0,-1.0,CLT,"Charlotte, NC",NC,37,-13.3, ,8, ,529.0,3,,,,,,0,,,,0.0,5.0, ,41, ,,2015-02-12 00:00:00,1799,1.0, , ,,,2,,EWR,"Newark, NJ",NJ,34, , , , ,1,AA, , 25, ,2015-02-12 16:56:00,2015-02-12 15:00:00,29.99, ,,FEW075, ,29.17, ,11.0,N191UW,7.0,21.0,1652.0,,US,37, ,10.0, ,13881.0,, , ,-0.8, ,30, ,1514.0,1645.0,330, ,22, ,2015,both,Arr,322.0,417424,322.0,1656,1500,2015-02-12 16:52:00,,South,0,0,CLT,-4.0,7.0,0,41.0,8.0,0.0,10.0,1,CLT,5,0,0,20150212,1268,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530624,530624,19978,911,128.0,110.0,20355,30.16, ,1.0,38.0,38.0,1953.0,1900-1959,13881.0,2.0,1915,1710,125.0,,0.0,US,14.0,20140509.0,5,9,1.0,35.0,35.0,1745.0,1700-1759,14765.0,2.0,CLT,"Charlotte, NC",NC,37,7.2, ,45.0, ,683.0,3,,,,,,0,,,,0.0,13.9, ,57.0, ,,2014-05-09 00:00:00,643,1.0, , ,21.0,,5,3.0,PVD,"Providence, RI",RI,44, , , , ,2,AA, ,64.0, ,2014-05-09 19:15:00,2014-05-09 17:10:00,30.16, ,0.0,FEW021 BKN027 BKN060, ,30.09, ,11.0,N563UW,4.0,14.0,1651.0,,US, , ,10.0, ,14765.0,0.0, , ,10.5, ,51.0, ,1759.0,1949.0,170, , 7, ,2014,both,Dep,267.0,488372,267.0,1915,1710,2014-05-09 16:51:00,North,South,1,0,PVD,35.0,14.0,0,57.0,45.0,0.0,10.0,0,PVD,17,0,0,20140509,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
437649,437649,57209,12934,141.0,127.0,19393,29.91, ,0.0,5.0,5.0,1755.0,1700-1759,23174.0,0.0,1750,1625,145.0,,0.0,WN,,20140424.0,4,24,0.0,9.0,9.0,1634.0,1600-1659,3017.0,0.0,LAX,"Los Angeles, CA",CA,6,10.6, ,51.0, ,862.0,4,,,,,,0,,,,0.0,18.3, ,65.0, ,,2014-04-24 00:00:00,3,1.0, , ,,,4,,DEN,"Denver, CO",CO,8, , , , ,2,AA, ,61.0, ,2014-04-24 17:50:00,2014-04-24 16:25:00,29.91, ,,FEW200 SCT250, ,29.56, ,11.0,N608SW,7.0,7.0,1753.0,,WN, , ,10.0, ,23174.0,, , ,14.0, ,57.0, ,1641.0,1748.0,240, ,13.0, ,2014,both,Arr,659.0,333918,659.0,1750,1625,2014-04-24 17:53:00,,West,0,0,LAX,5.0,7.0,0,65.0,51.0,0.0,10.0,0,LAX,10,0,0,20140424,1294,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1486052,1486052,81782,886,85.0,60.0,20304,30.06, ,1.0,18.0,18.0,1942.0,1900-1959,93814.0,1.0,1924,1754,90.0,,0.0,OO,0.0,20150323.0,1,23,1.0,23.0,23.0,1817.0,1700-1759,13881.0,1.0,CVG,"Cincinnati, OH",KY,21,2.8, ,37, ,335.0,2,,,,,,0,,,,0.0,17.2, ,63.0, ,,2015-03-23 00:00:00,4505,1.0, , ,18.0,,3,0.0,CLT,"Charlotte, NC",NC,37, , , , ,1,AA, , 38, ,2015-03-23 19:24:00,2015-03-23 17:54:00,30.05, ,0.0,CLR, ,29.23, ,11.0,N430SW,3.0,22.0,1752.0,,OO, , ,10.0, ,13881.0,0.0, , ,10.1, ,50, ,1839.0,1939.0,150, , 5, ,2015,both,Dep,680.0,148118,680.0,1924,1754,2015-03-23 17:52:00,South,,0,0,CLT,23.0,22.0,0,63.0,37.0,0.0,10.0,1,CLT,5,0,0,20150323,1262,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194582,194582,63280,974,50.0,35.0,19393,30.28, ,0.0,-11.0,0.0,2004.0,2000-2059,23169.0,-1.0,2015,1915,60.0,,0.0,WN,,20141125.0,2,25,0.0,-1.0,0.0,1914.0,1900-1959,23152.0,-1.0,LAS,"Las Vegas, NV",NV,32,-5.0, ,23, ,223.0,1,,,,,,0,,,,0.0,17.8, ,64.0, ,,2014-11-25 00:00:00,3948,1.0, , ,,,11,,BUR,"Burbank, CA",CA,6, , , , ,4,AA, , 21, ,2014-11-25 20:15:00,2014-11-25 19:15:00,30.26, ,,CLR, ,29.49, ,12.0,N918WN,7.0,8.0,1853.0,,WN, , ,10.0, ,23152.0,, , ,7.9, ,46, ,1922.0,1957.0,000, , 0, ,2014,both,Dep,634.0,90483,634.0,2015,1915,2014-11-25 18:53:00,West,,0,0,BUR,-1.0,8.0,0,64.0,23.0,0.0,10.0,0,BUR,2,0,0,20141125,126,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
873384,873384,98201,59,100.0,78.0,20355,30.14, ,0.0,-25.0,0.0,1447.0,1500-1559,13881.0,-2.0,1512,1315,117.0,,0.0,US,,20140719.0,6,19,0.0,-8.0,0.0,1307.0,1300-1359,14734.0,-1.0,CLT,"Charlotte, NC",NC,37,17.8, ,64.0, ,529.0,3,,,,,,0,,,,0.0,20.6, ,69.0, ,,2014-07-19 00:00:00,1719,1.0,0.03, ,,,7,,EWR,"Newark, NJ",NJ,34, , , , ,3,AA, , 84, ,2014-07-19 15:12:00,2014-07-19 13:15:00,30.12, ,,SCT070 BKN090 OVC110, ,29.31, ,11.0,N823AW,9.0,13.0,1452.0,,US, , ,7.0, ,13881.0,,RA, ,18.8, ,66, ,1320.0,1438.0,360, ,8.0, ,2014,both,Arr,481.0,174,481.0,1512,1315,2014-07-19 14:52:00,,South,0,0,CLT,-25.0,9.0,0,69.0,64.0,0.03,7.0,0,CLT,5,0,0,20140719,1004,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
