,Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,UniqueCarrier,AirlineID,Carrier,TailNum,FlightNum,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum,Unnamed: 109
84441,2015,4,12,5,6,2015-12-05,EV,20366,EV,N391CA,4889,11433,1143302,31295,DTW,"Detroit, MI",MI,26,Michigan,43,13495,1349503,33495,MSY,"New Orleans, LA",LA,22,Louisiana,72,1222,1223.0,1.0,1.0,0.0,0.0,1200-1259,27.0,1250.0,1357.0,4.0,1409,1401.0,-8.0,0.0,0.0,-1.0,1400-1459,0.0,,0.0,167.0,158.0,127.0,1.0,926.0,4,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30358,2015,4,12,17,4,2015-12-17,DL,19790,DL,N329NB,2611,13495,1349503,33495,MSY,"New Orleans, LA",LA,22,Louisiana,72,12478,1247803,31703,JFK,"New York, NY",NY,36,New York,22,1820,1857.0,37.0,37.0,1.0,2.0,1800-1859,19.0,1916.0,2228.0,12.0,2216,2240.0,24.0,24.0,1.0,1.0,2200-2259,0.0,,0.0,176.0,163.0,132.0,1.0,1182.0,5,1.0,0.0,8.0,0.0,15.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315052,2015,4,12,13,7,2015-12-13,OO,20304,OO,N105SY,6390,13198,1319801,33198,MCI,"Kansas City, MO",MO,29,Missouri,64,14771,1477102,32457,SFO,"San Francisco, CA",CA,6,California,91,1715,1719.0,4.0,4.0,0.0,0.0,1700-1759,17.0,1736.0,1916.0,7.0,1919,1923.0,4.0,4.0,0.0,0.0,1900-1959,0.0,,0.0,244.0,244.0,220.0,1.0,1499.0,6,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282517,2015,4,12,2,3,2015-12-02,OO,20304,OO,N8903A,4519,10627,1062702,30627,BIS,"Bismarck/Mandan, ND",ND,38,North Dakota,66,13487,1348702,31650,MSP,"Minneapolis, MN",MN,27,Minnesota,63,1512,1503.0,-9.0,0.0,0.0,-1.0,1500-1559,17.0,1520.0,1626.0,5.0,1637,1631.0,-6.0,0.0,0.0,-1.0,1600-1659,0.0,,0.0,85.0,88.0,66.0,1.0,386.0,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443356,2015,4,12,22,2,2015-12-22,WN,19393,WN,N207WN,258,15304,1530402,33195,TPA,"Tampa, FL",FL,12,Florida,33,14492,1449202,34492,RDU,"Raleigh/Durham, NC",NC,37,North Carolina,36,900,900.0,0.0,0.0,0.0,0.0,0900-0959,8.0,908.0,1029.0,5.0,1040,1034.0,-6.0,0.0,0.0,-1.0,1000-1059,0.0,,0.0,100.0,94.0,81.0,1.0,587.0,3,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267883,2015,4,12,30,3,2015-12-30,NK,20416,NK,N620NK,895,11697,1169704,32467,FLL,"Fort Lauderdale, FL",FL,12,Florida,33,14843,1484304,34819,SJU,"San Juan, PR",PR,72,Puerto Rico,3,530,526.0,-4.0,0.0,0.0,-1.0,0001-0559,17.0,543.0,849.0,3.0,855,852.0,-3.0,0.0,0.0,-1.0,0800-0859,0.0,,0.0,145.0,146.0,126.0,1.0,1046.0,5,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298378,2015,4,12,22,2,2015-12-22,F9,20436,F9,N954FR,915,15356,1535602,35356,TTN,"Trenton, NJ",NJ,34,New Jersey,21,13930,1393004,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1250,1249.0,-1.0,0.0,0.0,-1.0,1200-1259,12.0,1301.0,1350.0,29.0,1420,1419.0,-1.0,0.0,0.0,-1.0,1400-1459,0.0,,0.0,150.0,150.0,109.0,1.0,693.0,3,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104231,2015,4,12,25,5,2015-12-25,EV,20366,EV,N12569,6172,13930,1393004,30977,ORD,"Chicago, IL",IL,17,Illinois,41,11986,1198603,31986,GRR,"Grand Rapids, MI",MI,26,Michigan,43,1404,1420.0,16.0,16.0,1.0,1.0,1400-1459,11.0,1431.0,1555.0,6.0,1606,1601.0,-5.0,0.0,0.0,-1.0,1600-1659,0.0,,0.0,62.0,41.0,24.0,1.0,137.0,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449233,2015,4,12,23,3,2015-12-23,WN,19393,WN,N755SA,2893,15016,1501603,31123,STL,"St. Louis, MO",MO,29,Missouri,64,13495,1349503,33495,MSY,"New Orleans, LA",LA,22,Louisiana,72,1040,1039.0,-1.0,0.0,0.0,-1.0,1000-1059,10.0,1049.0,1223.0,21.0,1225,1244.0,19.0,19.0,1.0,1.0,1200-1259,0.0,,0.0,105.0,125.0,94.0,1.0,604.0,3,0.0,0.0,19.0,0.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163776,2015,4,12,8,2,2015-12-08,AA,19805,AA,N535UW,2057,12478,1247803,31703,JFK,"New York, NY",NY,36,New York,22,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,630,633.0,3.0,3.0,0.0,0.0,0600-0659,19.0,652.0,821.0,5.0,836,826.0,-10.0,0.0,0.0,-1.0,0800-0859,0.0,,0.0,126.0,113.0,89.0,1.0,541.0,3,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
